AL627309.1
AL627309.5
LINC01409
FAM87B
LINC01128
LINC00115
NOC2L
KLHL17
PLEKHN1
HES4
ISG15
AL645608.1
AGRN
C1orf159
AL390719.3
LINC01342
TNFRSF18
TNFRSF4
SDF4
B3GALT6
UBE2J2
LINC01786
SCNN1D
ACAP3
PUSL1
INTS11
CPTP
DVL1
MXRA8
AURKAIP1
CCNL2
MRPL20-AS1
MRPL20
ATAD3C
ATAD3B
ATAD3A
TMEM240
SSU72
AL645728.1
FNDC10
AL691432.4
AL691432.2
MIB2
MMP23B
CDK11B
FO704657.1
SLC35E2B
CDK11A
SLC35E2A
NADK
GNB1
AL109917.1
PRKCZ
PRKCZ-AS1
FAAP20
SKI
MORN1
RER1
PEX10
PLCH2
PANK4
AL139246.5
TNFRSF14-AS1
TNFRSF14
AL139246.3
PRXL2B
MMEL1
TTC34
MEGF6
AL513320.1
TPRG1L
WRAP73
SMIM1
LRRC47
CEP104
DFFB
C1orf174
LINC01134
AL365255.1
NPHP4
KCNAB2
RPL22
AL031847.1
RNF207
ICMT
GPR153
ACOT7
AL031848.2
ESPN
TNFRSF25
PLEKHG5
NOL9
TAS1R1
ZBTB48
KLHL21
PHF13
THAP3
DNAJC11
CAMTA1-DT
CAMTA1
VAMP3
PER3
Z98884.1
UTS2
TNFRSF9
PARK7
ERRFI1
AL034417.2
SLC45A1
RERE
RERE-AS1
ENO1
ENO1-AS1
CA6
GPR157
MIR34AHG
LNCTAM34A
H6PD
SPSB1
LINC02606
SLC25A33
TMEM201
PIK3CD
PIK3CD-AS1
PIK3CD-AS2
CLSTN1
CTNNBIP1
LZIC
AL357140.2
NMNAT1
UBE4B
KIF1B
PGD
CENPS
DFFA
PEX14
CASZ1
AL139423.1
TARDBP
MASP2
AL109811.2
SRM
EXOSC10
AL109811.1
MTOR
UBIAD1
DISP3
FBXO2
FBXO44
FBXO6
MAD2L2
AGTRAP
C1orf167
MTHFR
CLCN6
AL021155.5
KIAA2013
PLOD1
MFN2
MIIP
TNFRSF8
TNFRSF1B
VPS13D
DHRS3
PRDM2
KAZN
FHAD1
AL031283.1
EFHD2
CTRC
CASP9
DNAJC16
AL121992.3
AGMAT
DDI2
PLEKHM2
AL450998.3
AL450998.2
SPEN
ZBTB17
ARHGEF19
CPLANE2
FBXO42
SZRD1
SPATA21
NECAP2
LINC01772
AL137802.2
NBPF1
AL021920.3
CROCC
BX284668.5
BX284668.6
AL049569.1
ATP13A2
SDHB
PADI4
RCC2
ALDH4A1
IFFO2
UBR4
EMC1-AS1
EMC1
MRTO4
AKR7A2
SLC66A1
CAPZB
MICOS10
AL031727.2
NBL1
HTR6
TMCO4
OTUD3
UBXN10-AS1
UBXN10
AL020998.1
CAMK2N1
MUL1
PINK1
PINK1-AS
DDOST
